Id,IsActive,IsDeleted,CreatedOn,LastModifiedOn,DeletedOn,ArtistId,StageName,SpotifyUrl,Biography,CityOfOrigin,CountryOfOrigin,CurrentLocation,ExperienceLevel,YearsOfExperience,HasRecordLabel,RecordLabelId,HasAgent,AgentId,HasManager,ManagerId,IsResidentDJ,ResidentLocation,HourlyRate,SelectedCountries,ExtraInformation,CurrencyId,HourlyFeeRange,EquipmentUsed,EquipmentRequired,TechnicalRider,Rider,OtherRequirements,ManagementAgent
155,t,f,2026-01-30 13:33:22.387113+00,2026-01-30 13:33:22.387113+00,,187,David Phoenix,,"DAVID PHOENIX is the alias of Hungarian DJ and producer David Janecska, an artist whose journey through electronic music spans more than twenty years. Beginning his production work in 2003, David explored a wide range of styles inspired by early breakbeat and techno before developing a deep connection to the Drum & Bass scene, where he refined his ear for rhythm, structure, and sound design.

In 2017, he returned to his techno roots, blending minimal aesthetics with the complex sound design of psy and neuro influences. The result is a distinctive, tightly controlled sound defined by steady grooves, hypnotic tension, and precision-crafted production. Under his DAVID PHOENIX alias, launched in 2019, he released his debut EP “Cybercrime” on Dense Audio in 2020.

Since then, DAVID PHOENIX has become one of the fastest-growing names in minimal techno, with multiple Beatport Top 100 charting releases and performances across Europe, Mexico, India, Saudi Arabia, and beyond. In 2023, he expanded his artistic vision by founding VISION SERPENT, a record label dedicated to forward-thinking minimal and psytech releases. With a strong international presence and a clear sonic identity, DAVID PHOENIX continues to evolve as a powerful force on underground dance floors worldwide.",Budapest,333,Budapest,,6,t,VISION SERPENT,t,Interlinked Artists,f,,f,,,,,0,,,,,,,
156,t,f,2026-01-30 14:46:12.772659+00,2026-01-30 14:46:12.772659+00,,188,Jack David,,"Jack David is a Scottish DJ, producer, and songwriter whose sound blends infectious melodies with slick, polished production. Focused on feel good electronic music, his releases are built to soundtrack warm nights, open air dancefloors, and moments that live beyond the club.

Amsterdam Dance Event 2024 marked the official launch of Jack David as a live act, where he began sharing line ups with international DJs and introducing his sound to a wider global audience. His performances are rooted in groove, melody, and musical storytelling, bringing summer energy and emotional lift to every set.

Behind the scenes, Jack has spent the past four years working extensively as a songwriter, producer, and instrumentalist for a wide range of artists across electronic and pop leaning dance music. Alongside this, he releases under his deep house alias Able Faces, which currently attracts over 750,000 monthly listeners on Spotify.

Across his projects, Jack’s music has accumulated more than 200 million streams to date. What began as a passion project and creative outlet has grown into a fully fledged artist journey, driven by a love for feel good music and authentic sound.

Following the success of his early singles and collaborative releases, it became clear that pursuing the sounds that excite him most was the right path forward. Jack David represents the next chapter of that journey and this is only the beginning.",Scotland,364,Scotland,,2,f,,f,88 Music Management,t,88 Music Management,f,,,,,0,,,,,,,
157,t,f,2026-01-30 15:13:32.867238+00,2026-01-30 15:13:32.867238+00,,189,Sofía Cristo,,"Sofía Cristo is a celebrated DJ and producer from Madrid whose career is defined by rediscovery, resilience, and unstoppable energy. Raised in a family of performers, she was immersed in music from an early age. By the age of 14, she had already fallen in love with electronic music, and by 18, she was actively carving out her place in Spain’s club scene, driven by passion, persistence, and an unmistakable sound.

With over 20 years of experience behind the decks, Sofía has evolved into a powerful and authentic force within modern electronic music. Her journey through addiction and recovery, including more than 12 years of sobriety, has shaped not only her personal life but also her artistic voice. Today, she is a strong advocate for mental health within nightlife culture, using her platform to inspire others through openness and lived experience.

Musically, Sofía Cristo blends hyper techno, hard dance, and neo rave with raw emotion and relentless intensity. Her sets are high impact, fast paced, and deeply expressive, reflecting both her evolution as an artist and her commitment to the dancefloor. Each performance is charged with purpose, energy, and connection.

With new releases and international collaborations on the horizon, Sofía Cristo continues to expand her presence beyond Spain and onto the global stage. She is not just telling her story through music, she is living it one powerful beat at a time.",Madrid,359,Madrid,,5,f,,f,,t,88 Music Management,f,,,,,0,,,,,,,
175,t,f,2026-02-02 09:27:01.050543+00,2026-02-02 09:27:01.050544+00,,207,Blackout,,Live,Tuscany,337,Arezzo,,2,f,Insane Industry Records,f,,f,,f,,,,,2,1000,Live,Live,,,,
176,t,f,2026-02-02 09:42:04.302299+00,2026-02-02 09:42:04.302299+00,,208,FJDR,,"FJDR is a high-energy DJ rooted in 90s-inspired dance music, blending hard house, trance, and piano-driven grooves with modern club intensity. Based in Utrecht, FJDR delivers euphoric, fast-paced sets designed to keep dancefloors moving from start to finish. With a strong focus on bounce, melody, and rave energy, she is available for bookings across the Netherlands and internationally.",Utrecht,348,Utrecht,,3,f,,f,,f,,f,,,,,0,,,,,,,
177,t,f,2026-02-03 07:23:07.248547+00,2026-02-03 07:23:07.248547+00,,209,JP Hernandez,,Chilean DJ and music producer of house music now based in Amsterdam.,Amsterdam,348,Amsterdam,,5,t,"nopreset, conceptual, purism, johow digital & more",f,,f,,t,"SouthSide, Filó",,,,0,,,,,,,
158,t,f,2026-01-30 15:39:45.806798+00,2026-01-30 15:39:45.806798+00,,190,Alessandro Ginevri,,"Alessandro Ginevri is a multi-instrumentalist and composer with a background in guitar, flute, and vocal performance, blending IDM, ambient, cinematic, and experimental soundscapes. He has performed at international festivals including Italy Contact Camp, Dancefulness (Ukraine), and Being Touch Festival, often creating music for dance and improvisation. His releases include the self-produced album Noon, the singles Membrane and No New Things, and the EP Reconciliation(2025).",Genoa,337,Genoa,,5,f,,f,,f,,f,,,,,2,350,"Elektron Model:Cycles
Arturia MiniFreak
Roland SP-404 MKII
Zoom Multistomp MS-70 CDR
Yamaha MG06X Mixer
AKG C555L Headset Microphone
AKG B29L Power Supply
Yamaha 211 Flute
Shure SE215 In-Ear Monitoring
Audio and connection cables
The setup is fully autonomous and managed by the artist.
",Projector or screen for video projection.,"AUDIO REQUIREMENTS
Outputs
Stereo L/R LINE from mixer (XLR or 6.3 mm Jack – to be agreed)
PA System
PA system adequate for the venue size
Subwoofer recommended for optimal low-frequency reproduction
Stage Monitors Not required (artist uses Shure SE215 in-ear monitoring)
ELECTRICAL REQUIREMENTS
1 220V power outlet near the setup
Power strip recommended
VIDEO / VISUALS
Video projection via Wimius P62 Pro projector (optional)
Projection surface or screen to be agreed
LIGHTING
(If video projection is not possible)
Soft / atmospheric lighting
Preference for static or slow-moving lights
Avoid intense strobes
The live set is designed as an immersive and contemplative experience
Service Lights
Artist brings Duoble2 LED Akku Flexlight 12259
TECHNICAL TIMING
Setup: 30 minutes
Soundcheck: 20 minutes
Breakdown: 30 minutes","For performances requiring travel outside Genoa, Italy, expenses for transportation, accommodation, and meals should be provided by the organizer.",,
159,t,f,2026-01-30 17:01:32.462671+00,2026-01-30 17:01:32.462671+00,,191,Taco,,"Hardhouse, Speed Garage & Trance. After explosive sets at Thuishaven, Kabul, and de NAR, Taco is now shifting his focus toward the studio. ⚡️
He is set to graduate from the Producer Academy in early 2026, marking the long-awaited arrival of his first original releases. 👀",Utrecht,348,Utrecht,,3,f,,f,,f,,t,Birdcageradio,,,,0,,,,,,,
160,t,f,2026-01-30 17:44:15.470836+00,2026-01-30 17:44:15.470836+00,,192,,,,,0,,,,,,f,,f,,f,,,,,2,200,All Pioneer and Allen+Heath gear,"Cdjs: 2xCDJ3000 / 2xCDJ2000NX
Mixer: Xone 93/94 / Pioneer A9",,,,
161,t,f,2026-01-30 17:48:54.246968+00,2026-01-30 17:48:54.246968+00,,193,,,,,0,,,,,,f,,f,,f,,,,,0,,,,,,,
162,t,f,2026-01-30 18:24:04.425659+00,2026-01-30 18:24:04.425659+00,,194,TØLR,,"As the founder of Normative, he’s released on major labels such as Falsive Records, Monasterio, Sub-Terra TRAX, Vast Perception, and Heart’s Whispers.

Supported by icons like Paula Temple, SNTS, Rebekah, KOZLOV, Don Woezik, and Cassie Raptor, TØLR has built a reputation for mind-bending live performances across Europe and Colombia.

Every set he delivers is a journey through chaos, control, and catharsis — all at once.
",Pernik,320,Sofia,,5,f,,f,,f,,t,ÇARK,,,,2,400,"3 × Pioneer CDJ-3000
(CDJ-2000NXS2 accepted as an alternative)
	•	1 × Allen & Heath 92/96
(or equivalent professional DJ mixer)","3 × Pioneer CDJ-3000
(CDJ-2000NXS2 accepted as an alternative)
	•         1 × Allen & Heath 92/96
(or equivalent professional DJ mixer)","
- Soundcheck at least 30 minutes before set - USB stick or laptop plug-in ready - Balanced XLR outputs for master and booth - Booth height and ventilation required","DJ Equipment Required

The following professional DJ equipment must be provided, fully functional and tested prior to the artist’s arrival:
	•	2 × Pioneer CDJ-3000
(CDJ-2000NXS2 accepted as an alternative)
	•	1 × Pioneer DJM-900NXS2
(or equivalent professional DJ mixer)
	•	Stable, vibration-free DJ booth

All equipment must be connected, powered, and ready for use.

⸻

Audio / Sound System
	•	Professional PA system suitable for the venue capacity
	•	2 × DJ booth monitors with independent volume control
	•	Clean, distortion-free sound

⸻

Power & Setup
	•	220V power outlet in the DJ booth
	•	All required audio and power cables provided
	•	Proper grounding and safe electrical setup

⸻

Soundcheck
	•	Minimum 15–30 minutes access to the DJ booth prior to performance
	•	Full technical readiness before soundcheck

⸻

2. HOSPITALITY RIDER

Artist & Crew
	•	Access for 1 artist (+1 guest if applicable)

⸻

Drinks (Backstage / DJ Booth)
	•	Still water (minimum 4 bottles)
	•	Energy drinks or soft drinks
	•	Optional: beer or spirits (to be discussed in advance)

⸻

Catering (for long events / festivals)
	•	Light meal or catering voucher
	•	Vegetarian option appreciated

⸻

Comfort & Access
	•	Secure access to backstage / DJ booth area
	•	Clean restroom facilities
	•	Safe storage space for personal belongings

⸻

3. GENERAL CONDITIONS
	•	No drinks or liquids placed on DJ equipment
	•	Any equipment substitutions must be approved in advance
	•	Organizer is responsible for equipment safety during the event

⸻

4. CONTACT & CONFIRMATION

All technical and hospitality details must be confirmed at least 48 hours before the event.",- EU bookings preferred; travel and accommodation to be agreed if outside local region - Local transfer from airport/train station to venue,anke.weiss.mgmt@gmail.com
164,t,f,2026-01-30 21:54:17.936947+00,2026-01-30 21:54:17.936948+00,,196,JHONATAN OSPINA ,,"Born in Colombia, based in the United States, and frequently active in São Paulo and Netherlands Jhonatan Ospina is one of the most authentic names in the global techno scene. He stands out for blending powerful rhythms and deep sound textures, creating a hypnotic, exciting, and meaningful atmosphere on the dance floor.

With sets recorded in Brazilian cultural spaces such as Centro Cultural Vila Itororó and Theatro Municipal, performed at house mag festival and ADE, and high-level audiovisual productions at the helipad of the Mercure Hotel in São Paulo, he captures attention with hybrid performances and control of the theremini—a Moog synth that corresponds to a modern version of the theremin, one of the first electronic instruments created, where hand gestures are detected by sensors and converted into sounds.

Traversing genres such as melodic techno, minimal, and progressive techno, Ospina has delivered significant releases, including ""Space"" via Kollektiv Black, ""Addicted to You""—a collaboration with Brazilian singer-songwriter Cris Piza, a judge on the Record TV show ""Canta Comigo""—and ""Mistery"" with Cactunes Records, the music video of which won an award at the Miami Street International Film Festival.

He received an award ",Fort Lauderdale ,348,Usa,,8,f,,f,,f,,f,,,,,0,,,,,,,
165,t,f,2026-01-30 22:48:06.472961+00,2026-01-30 22:48:06.472961+00,,197,MSBHVR,,,Benoni,365,Benoni,,,f,,f,,f,,f,,,,,0,,,,,,,
166,t,f,2026-01-31 07:41:05.635917+00,2026-01-31 07:41:05.635917+00,,198,,,,,0,,,,,,f,,f,,f,,,,,0,,,,,,,
167,t,f,2026-01-31 13:21:30.325488+00,2026-01-31 13:21:30.325489+00,,199,,,,,0,,,,,,f,,f,,f,,,,,0,,,,,,,
168,t,f,2026-01-31 14:12:09.775655+00,2026-01-31 14:12:09.775655+00,,200,,,,,0,,,,,,f,,f,,f,,,,,0,,,,,,,
171,t,f,2026-01-31 20:13:47.480206+00,2026-01-31 20:13:47.480206+00,,203,,,,,0,,,,,,f,,f,,f,,,,,0,,,,,,,
172,t,f,2026-02-01 08:29:05.918932+00,2026-02-01 08:29:05.918932+00,,204,,,,,0,,,,,,f,,f,,f,,,,,0,,,,,,,
173,t,f,2026-02-02 07:36:43.214856+00,2026-02-02 07:36:43.214857+00,,205,Kate Hex,,"Kate Hex is a techno DJ and producer from Hungary who began her music career in 2023 and has rapidly established herself as one of the most promising new names in the scene. Her sound bridges classic techno foundations with modern, driving and peak-time elements, resulting in energetic and forward-thinking sets.

She has released music on respected labels including Set About, Extima, and Mainground Music, with her productions receiving support from leading artists such as Enrico Sangiuliano, Pan-Pot, Joris Voorn, Kevin de Vries, Carl Cox, Juliet Fox, Oliver Huntemann, Teenage Mutants, and Karotte.

Kate Hex’s tracks have been played at major festivals and venues worldwide, including Awakenings, EDC Las Vegas, Mysteryland, Ozora, Exit Festival, Untold, Sziget Festival, Printworks London, Ritter Butzke, and Sisyphos Berlin. Her growing international presence has taken her across Europe and overseas to Australia.

With a distinctive style and strong momentum, Kate Hex continues to carve out her place on global dancefloors.",Budapest,333,Budapest,,3,t,Set About x Extima x Mainground Music,t,Interlinked Artists,f,,f,,,,,0,,,,,,,
170,t,f,2026-01-31 17:13:20.358916+00,2026-01-31 17:13:20.358916+00,,202,Bushfrog / Bushmob,,"Liam black, aka BushFrog, is a Johannesburg based Psytech and Bushprog DJ signed to Alpaka Muzik (Canada) and a founding member of the BushMob collective.

Liam fell in love with the psychedelic, cyber soundscapes of bushprog and Psytech in 2023 due to the complex and dynamic structures within the production itself, as well as the emotions it evokes. 

Now, in 2026, Liam and the bushmob collective have been making waves, locally and globally, by bringing international artists to South African soil and providing a platform for the music to be heard.",Johannesburg ,365,"",,4,t,AlpaKa MuziK ,f,,f,,t,Bushmob events,,,,0,,,,,,,
178,t,f,2026-02-03 10:34:19.993004+00,2026-02-03 10:34:19.993004+00,,210,Double Drop,,"Mozambican Artist Double Drop brings a new creative lymph, riding on the evolution of the times but always tied to his roots. With the aim of de-personifying art, his music has no face—a concept mentioned in magazines such as Mixmag and DJMag.

This project has taken Mozambican culture to places that were unbelievable in the past. Using his platform to introduce new names to the electronic scene in Mozambique, Double Drop always seeks to learn and teach.

Signed with major labels like Sondela, MoBlack, and Go Deeva. He also founded his own label, Xibalo, focusing on afro and organic content.
From the vibrant stages of Eswatini to the underground clubs of Berlin, Double Drop brings the Mozambican sound to the world. With performances across South Africa, Italy, Mauritius, Germany, and beyond, the journey continues to expand.

COUNTRIES PERFORMED
South Africa
Italy
Mauritius
Germany
Eswatini
Mozambique","Maputo, Mozambique ",337,Maputo / Genova ,,10,f,,f,,t,Silvia Nocentini - NoOx Worldwide ,f,,,,,0,,,,,,,
180,t,f,2026-02-03 17:30:06.763281+00,2026-02-03 17:30:06.763281+00,,212,,,,,0,,,,,,f,,f,,f,,,,,0,,,,,,,
181,t,f,2026-02-03 18:11:13.286247+00,2026-02-03 18:11:13.286247+00,,213,Lahvarsen ,,,Pretoria ,365,"",,2,f,,f,,f,,f,,,,,0,,,,,,,
183,t,f,2026-02-09 05:05:02.53548+00,2026-02-09 05:05:02.535481+00,,215,,,,,0,,,,,,f,,f,,f,,,,,0,,,,,,,
199,t,f,2026-04-10 16:41:37.425128+00,2026-04-10 16:41:37.425128+00,,235,,,,,0,,,,,,f,,f,,f,,,,,0,,,,,,,
187,t,f,2026-03-03 13:25:19.603509+00,2026-03-03 13:25:19.603509+00,,223,,,,,0,,,,,,f,,f,,f,,,,,0,,,,,,,
201,t,f,2026-04-15 18:05:40.210756+00,2026-04-15 18:05:40.210756+00,,237,4YÛ,,"4YÛ is the alias of New York City–based DJ and electronic music producer Gabriel Uy, known for high-energy trance and progressive records built to lift crowds onto the mainstage wavelength. Emerging as an artist in his early twenties, he has steadily grown into a versatile act whose sound fuses Big Room power with melodic, uplifting trance and progressive house influences. In 2024 he debuted in Canada at Vancouver’s Levels, premiered a new sound at Dreamstate California, and saw his music reach Tomorrowland, underscoring his growing global momentum. Supported by names like MaRLo, Andrew Rayel and B Jones, and with releases on respected labels such as Find Your Harmony, Reaching Altitude and Interplay, 4YÛ continues to push a euphoric, emotionally charged sound designed to elevate spirits on and off the dancefloor.

",New York,364,USA,,3,f,,f,,f,,f,,,,,0,,,,,,,
200,t,f,2026-04-11 21:38:00.095974+00,2026-04-11 21:38:00.095974+00,,236,HARD AURA / CHERNOBOG,,"DJ HARD AURA || CHERNOBOG is a male musician and a songwriter from Portugal Specializing in Psy and DarkPsy trance music, Since 2017. He´s playing in different nightclubs like SUBSOLO CLUB , MASSAS CLUB , and differents raves in PORTUGAL.
Starting his international career in Netherlands and Germany in differents Free Underground partys .
START THE RAVE AND STOP THE WAR !

AKA : HARD AURA - PSY / FULL-ON
AKA : CHERNOBOG - DARKPSY / HITECH",Porto,352,Porto,,8,f,,f,,f,,f,,,,,0,,,,,,,
195,t,f,2026-03-31 14:09:21.974229+00,2026-03-31 14:09:21.974229+00,,231,,,,,0,,,,,,f,,f,,f,,,,,0,,,,,,,
196,t,f,2026-04-02 15:05:53.75179+00,2026-04-02 15:05:53.75179+00,,232,The MerX,,,Johannesburg ,365,South Africa ,,,f,,f,,f,,f,,,,,0,,,,,,,
197,t,f,2026-04-03 13:50:49.685034+00,2026-04-03 13:50:49.685034+00,,233,FLING,,"
FLING is a 22-year-old DJ from Arnhem bringing high-energy hard house and trance to the forefront of the underground scene. Known for electrifying sets that blend driving basslines with euphoric melodies, FLING creates an intense and immersive experience designed to move both body and mind.
With a fast-growing presence and a passion for pushing energy to its limits, FLING is carving out a distinct sound that resonates with the new generation of rave culture. Focused on momentum, connection, and pure adrenaline, every set is built to leave a lasting impact.",Arnhem ,348,Arnhem,,1,f,,f,,f,,t,Clear Nijmegen,,,,0,,,,,,,
203,t,f,2026-04-16 20:45:39.928321+00,2026-04-16 20:45:39.928321+00,,239,Dannx,,,Huizen,348,"",,,f,,f,,f,,f,,,,,0,,,,,,,
182,t,f,2026-02-03 23:48:26.401842+00,2026-02-03 23:48:26.401843+00,,214,Ayse,,,London,364,"",,3,f,,f,,f,,f,,,,,0,,,,,,,
198,t,f,2026-04-07 09:03:28.935173+00,2026-04-07 09:03:28.935173+00,,234,,,,,0,,,,,,f,,f,,f,,,,,0,,,,,,,
151,t,f,2025-12-10 20:07:28.218479+00,2025-12-10 20:07:28.218479+00,,183,Tarah & Brad Perr’s,,"TARAH & BRAD PERR’S is a family project born from a true shared passion for music. Originally from Verbier in the Swiss Alps and raised in Aarau, this twin duo grew up in an environment full of contrasts, a diversity they now express through their musical universe.

For them, music is a deeper form of expression, a way to transmit emotion and create unique and authentic moments. Their style blends intensity, emotion and unity, firmly rooted in Melodic House.",Zürich,362,Zürich,,3,f,,f,,f,,f,,,,,0,,,,,,,
119,t,f,2025-11-10 12:45:00.0683+00,2025-11-10 12:45:00.0683+00,,151,Luca Belluco,,"Luca Belluco is a Marseille based DJ and producer shaping emotional melodic techno with hypnotic rhythms and deep atmospheric energy. Known for his expressive sets and powerful sound design, Luca has performed at festival stages, underground clubs and private showcases across France and Europe. He is also a resident on Maxximum Radio (Radio FG), where he curates immersive sonic journeys for listeners. His music blends ethnic textures, cinematic layers and driving percussive grooves that create an evocative, high-energy dancefloor experience.",Marseille,327,Marseille,,8,f,,f,,f,,t,Maxximum Radio (Radio FG),,,,2,300,Pioneer CDJ Setup / Rekordbox,"Standard 2/3 CDJ Nexus with DJM Mixer, Booth Monitors","• 2x or 3x Pioneer CDJ-2000NXS / 3000
• 1x Pioneer DJM-900NXS2 mixer
• High-quality booth monitors
• Reliable sound system and audio technician onsite","• 2x drink tickets or equivalent hospitality
• 1x bottle of still water
• Basic backstage access",None,Independent
208,t,f,2026-05-07 13:48:56.947216+00,2026-05-07 13:48:56.947216+00,,244,Crystal Bitch,,"🌀 Crystal Bitch is an Amsterdam based, Irish DJ on a mission to spin crystal charged chaos. After starting her DJ journey only 2 years ago, Crystal bitch has been making bold moves across the Amsterdam and European scene. With some highlights including playing Melkweg MainStage with Raving Charlie, closing OT301 as a resident of Energy Amsterdam and a 3 hour closing Copenhagen debut in Module. 

A multi-genre artist specialising in Hard Techno and Hard Bounce, and and Trance her sets are high-energy, unrelenting, and impossible to stand still. With her chaotic energy and careful selection Crystal Bitch conjures an explosive fusion of rhythm, connection, and raw energy. Always bringing the crowd on journey, always creating dance floor alchemy 🌀",Ireland ,348,Amsterdam,,3,f,,f,,f,,t,Energy Amsterdam,,,,0,,,,,,,
212,t,f,2026-05-12 07:33:26.934625+00,2026-05-12 07:33:26.934625+00,,248,Nick Grater,,"Nick Grater has been a stalwart powerhouse of the techno industry in South Africa for more than two
decades. As with any DJ, his career began humbly with a simple residence at Atomic in Johannesburg.
From these humble beginnings rose a force to be reckoned with. Nick has almost single-highhandedly kept
the techno scene rolling forward in South Africa like an unstoppable steamroller of beats with the birth of
Teknotribe events in 2003.
As a firm believer in underground purism, Nick is recognized as one of the top techno performers in the
country and a proud ambassador for this genre overseas. His intelligent, energetic, hard, driving style has
secured him a reputation as one of the finest and most technically adept DJ/producers in South Africa.
Speaking of producing, Nick can boast of several fertile collaborations, as well as successful solo tracks,
released on world-class record labels – Stick Recordings, Techburst, Black Void, Hydraulix, Smitten,
Maximum Minimum, Cluster, Routemaster, Powertools, Underground Africa, Black Robin and Stay Up
Forever, as well as Nick's Teknotribe records.
Seemingly unstoppable, Nick’s tireless dedication, talent and passion have seen his career expand past our
shores toward global stages and his incredible skill and phenomenal presence behind the decks have
ensured his name feature on an international level in clubs and events in UK, Brazil, Germany, Slovakia and
in Africa.
Nick has shared the stage with top international DJ’s Sam Paganini, Julian Jeweil, Boris Brejcha, Cosmic
Boys, Joseph Capriati, Wehbba, Dave Clark, Luigi Madonna, Victor Ruiz, Christian Smith, Alex Stein,
NoNameLeft, Oliver Huntemann, Industrialyzer, Olivier Giacamatto, Chris Liberator, D.A.V.E The Drummer,
to name a few.
Nick’s overriding passion and enthusiasm for techno, have secured its future in South Africa. Known
countrywide by punter, producer, festival and club promoter/owners, label owners and DJ alike, Nick
commands respect both in his achievements behind the decks and behind the scenes. Nick is a true pioneer
and ambassador of the underground electronic dance movement and more specifically the techno genre.
He is also the mastermind behind Twilight Festival, Revolution NYE, Bloom Festival, Fenomena Festival and
hosts numerous indoor events namely Underground Sound, Teknotribe, Newtown Takeover, Nomadic and
Halloween Rave.",Johannesburg ,365,Johannesburg ,,29,t,Teknotribe ,f,,f,,t,Teknotribe,,,,0,,,,,,,
214,t,f,2026-05-12 08:36:23.625515+00,2026-05-12 08:36:23.625515+00,,250,Amplitude ,,,London,364,LONDON,,,f,,f,,f,,f,,,,,0,,,,,,,
219,t,f,2026-05-26 18:33:44.877416+00,2026-05-26 18:33:44.877416+00,,255,DJ Kaputski,,"DJ Kaputski / DJ Kapøtski's was born in Utrecht but he is living in Nieuwegein, The Netherlands. Since 1995 he is a Dutch DJ and producer.

Main style:
'Holy House Music': International Harder styles of House Music such as Latino Schranz Hard Techno / House Music with opera and church choirs influences, but he also loves House Classics and other minimal harder styles such as (early) Hardstyle and (early) Hardcore. 

He is a multilingual, so you might find several languages (from Dutch to English and Spanish) in his music, therefore he cannot really be put in one specific box. He likes passionate other worldy kinds of sounds that stand out and are energetic and full of power and sometimes even contain beautiful symphony and melody lines, although (in secret), he personally prefers and loves the more minimal and harder industrial sounds... ",Nieuwegein ,348,"Nieuwegein, The Netherlands",,15,f,,f,,f,,f,,,,,2,,"Vinyl, Technics SL's or the latest Pioneers preferably.","Vinyl, Technics SL's or the latest Pioneers preferably.","Vinyl, Technics SL's or the latest Pioneers preferably. And GOOD MONITORS that are positioned BEHIND the (main)stage speaker and NOT beside or in front of the (Main)stage speakers positioned, pls.","Can differ. Enough food and drinks are always needed though, although I would not use much of it probably. Just a few/enough (soft) drinks and something sweet and something salt to eat.",Be kind and honest please. Try to be positive then I will treat you the same or better.,Kaputski Beats
205,t,f,2026-04-30 12:27:33.400112+00,2026-04-30 12:27:33.400112+00,,241,Brandon Plank or PLANK,,"Brandon has been a DJ since 1995, toured internationally and performed at some of the largest festivals, clubs and raves in the US, but now lives in Malta. He's  most known for minimal house/minimal techno, but also produces and performs Drum and Bass under the pseudonym PLANK.",Sliema,344,"",,31,t,"Jungle Cakes /Guerilla Warfare, Selekta Recordings, Depth Recordings, Voidcat",f,,f,,f,,,,,2,,CDJ 2000 OR 3000,,,,,
206,t,f,2026-05-01 18:37:06.844988+00,2026-05-01 18:37:06.844988+00,,242,MECHANIC,,"Hi, my name is Nils or MECHANIC
I produce Bochka🛢️🛢️
I am 20 years old 
My type of music taste is bochka with a lot of euforic Tints to it ",Pijnacker ,348,"",,3,f,,f,,f,,f,,,,,0,,,,,,,
207,t,f,2026-05-06 12:09:29.976141+00,2026-05-06 12:09:29.976141+00,,243,VØX,,,Almere,348,"",,3,f,,f,,f,,f,,,,,0,,,,,,,
209,t,f,2026-05-07 18:43:20.607206+00,2026-05-07 18:43:20.607206+00,,245,,,,,0,,,,,,f,,f,,f,,,,,0,,,,,,,
204,t,f,2026-04-29 18:42:42.245979+00,2026-04-29 18:42:42.24598+00,,240,Chris2C,,"DJ Chris2C — Colombian DJ based in Amsterdam.
Hypnotic / Raw Techno. Dark grooves, Latin vocals & emotional energy.
Resident DJ | Open Format | Techno-driven vision.",Amsterdam,348,Amsterdam,,5,f,,f,,t,@frankilla ,t,In supper club and Dale Latin club ,,,,0,,,,,,,
215,t,f,2026-05-12 16:07:01.836379+00,2026-05-12 16:07:01.836379+00,,251,,,,,0,,,,,,f,,f,,f,,,,,0,,,,,,,
210,t,f,2026-05-08 23:06:07.436704+00,2026-05-08 23:06:07.436704+00,,246,,,,,0,,,,,,f,,f,,f,,,,,0,,,,,,,
163,t,f,2026-01-30 19:23:27.073116+00,2026-01-30 19:23:27.073116+00,,195,DREW,,"Driven by creativity, consistency, and a genuine love for techno, DREW continues to grow as an artist while bringing fresh energy and memorable vibes to every performance. With an expanding audience and a commitment to musical excellence, DREW is quickly becoming a standout name in the local nightlife scene in South Africa.",JHB,365,JHB,,1,f,,f,,f,,f,,,,,0,,,,,,,
216,t,f,2026-05-18 20:09:14.787175+00,2026-05-18 20:09:14.787175+00,,252,Karmerr,,"Eclectic tastes, curiosity, and authenticity are what Karmerr is composed of. The South African DJ, writer, producer, dancer, live-r, laugh-er, love-r creates and operates intuitively, finding a way to immerse her essence into those spaces and communities doing proper nonsense, you know?

Playing monthly around Johannesburg, frequently in Cape Town, and a few times internationally (namely in Cairo and London), Karmerr brings an infectious energy into the booth and onto the dancefloor. Although versatile, playing everything from ambient to dub step, minimal seems to be the glue holding all her sonic tools together.

She is also the mistress (I.E., curator) of TOYTOY’s Bordello and has releases on a few South African labels, as well as self-released music on Bandcamp.",Johannesburg,365,Johannesburg,,5,f,,f,,f,,f,,,,,3,60,"Pioneer CDJ (any model above CDJ-1000, preferably CDJ-2000NXS2)
Xone 96 Mixer preferred, Pioneer also acceptable. 
2 booth monitors preferred, one acceptable. 
Recorder ideal but not strictly necessary. 
Microphone for ambient/opening sets.
All necessary cabling + backup link/XLRs.",All equipment mentioned above.,"3 or 4 X AlphaTheta CDJ-2000NXS2
1 X Xone 96 Mixer OR 1 X AlphaTheta DJM-A9 4-channel club mixer.
All of the above equipment linked through an 8-port/1-gigabit network switch with Cat5e/Cat6 cables.
DJM-A9 4-channel club mixer must be updated to the latest firmware.
All CDJ-2000NXS2 professional DJ multi-players must be updated to the latest firmware.
All CDJ-3000X to be connected DIGITAL AND ANALOG to the DJM-A9 mixer.","Water X 3 (depending on set length). Chocolate/snack where available. Cigarettes. 
(Or bar tab to cover purchase)",Please welcome/greet artist when you can & show them where/if they can put their bag down.,Karmerrenquiries@gmail.com (self-managed)
