Id,IsActive,IsDeleted,CreatedOn,LastModifiedOn,DeletedOn,DateTimeStart,DateTimeEnd,EventType,PrimaryGenre,Description,CoverImageURL,TicketLink,AmountOfStages,AmountOfArtists,AdditionalInformation,PromotionalImagesURLs,PASystem,Turntable,CDJ,Mixer,Monitor,IsVisualsRequired,IsCancelled,EventId
459,t,f,2025-11-07 08:13:10.702+00,2025-11-07 08:13:10.702+00,,0001-01-01 00:00:00+00,0001-01-01 00:00:00+00,CLUB & NIGHTLIFE,,"House of Underground is back at Arroz Estudios on March 22nd in Lisbon, featuring a key figure in the underground electro scene, DMX KREW and DVDE who will both deliver a super solid LIVE to celebrate their release together + DJ, vocalist, and sound producer Anastasia Zems, completing the lineup for an unforgettable night.

Important: Arroz Estúdios is a non-profit cultural association and requires a valid annual membership card! If you don’t have one, you can get it at the door for €3. You can also register for membership in advance at this link and pay at the door.

LINE UP
--------------------------
DMK KREW (LIVE)
DVDE (LIVE)
ANASTASIA ZEMS

----------------

GOOD BEHAVIORS ARE MANDATORY !
If it's not YES, then it's NO!
NO RACISM
NO SEXISM
NO LGBTQIA+ PHOBIAS
NO HARASSMENT
NO DISCRIMINATION
NO VIOLENCE, INSULTS, AND INTIMIDATION.
YES TO EQUALITY, RESPECT AND KINDNESS
Management reserves the right to admission.
Not allowed for minors.",,,0,0,,{},,,,,,f,f,475
467,t,f,2025-11-07 08:27:28.819+00,2025-11-07 08:27:28.819+00,,0001-01-01 00:00:00+00,0001-01-01 00:00:00+00,CLUB & NIGHTLIFE,,"RSVP for this week’s Sunday Remedy are open! Join us for a daytime dance alongside Alzaya Records and its line-up of artists: Anastasia Zems, Brillante and Volantis to play inside the infamous octagonal booth from 5PM to 10PM.

Registration available only on DICE.
RSVP does not guarantee the entrance.",,,0,0,,{},,,,,,f,f,483
460,t,f,2025-11-07 08:15:02.836+00,2025-11-07 08:15:02.836+00,,0001-01-01 00:00:00+00,0001-01-01 00:00:00+00,CLUB & NIGHTLIFE,,"𝟐𝟏 𝐌𝐀𝐑𝐒 ✧ 𝐏𝐌𝐔 𝐍𝐈𝐆𝐇𝐓𝐂𝐋𝐔𝐁 ✧ 𝐋𝐄 𝐌𝐀𝐙𝐄𝐓𝐓𝐄

Lancer le printemps dans un grand boum: Paris, on se donne rendez-vous le 𝟮𝟭 𝗺𝗮𝗿𝘀 pour une soirée qu’on avait très hâte de vous dévoiler !

Cette fois-ci, nous confions les reines du PMU à deux étoiles montantes de la high-energy dance music : ils ont remis sur le devant de la scène cette musique entre house et trance, taillée pour la rave et qui fleure bon les années 90s : l’inimitable Kyle Starkey et Miguel De Bois (aka Papi Banger) seront nos special guests. À leurs côtés Anastasia Zems, Engatson et SLTBQ mèneront la charge, parés de leurs plus beau grooves.

Faites vos jeux, fasten your seatbelt et PNC aux portes !

𝘀𝗲𝗲.𝘆𝗼𝘂.𝘁𝗵𝗲𝗿𝗲",,,0,0,,{},,,,,,f,f,476
461,t,f,2025-11-07 08:16:23.745+00,2025-11-07 08:16:23.745+00,,0001-01-01 00:00:00+00,0001-01-01 00:00:00+00,CLUB & NIGHTLIFE,,"Grishagreg, um rapaz radiante, de Moscovo para Lisboa desde os 22, é um entusiasta da música, colecionador de discos e tem um olhar apurado para descobertas raras na arte de escavar. Ultimamente tem-se focado em música brasileira e portuguesa; Zouk, música sul-africana, Disco e Downtempo enriquecem a paleta de um vasto percurso musical, proporcionando uma viagem essencial através da vida e do som.

Numa cidade distante, a humilde cantora Anastasia Zems descobriu a sua voz. Abraçando o seu espírito suave, criou música que ressoou com ouvintes de perto e de longe. Agora, florescendo em Lisboa, a alma criativa de Anastasia entrelaçou batidas eletrónicas com vocais suaves. Esta ligação natural, nascida de uma vida mergulhada em música, cativou o seu público através dos seus DJ sets e produções. Criada numa família modesta, Anastasia aperfeiçoou as suas habilidades em canto, dança e teatro. Na sua música, deixava-se guiar pelos instintos, criando paisagens sonoras que equilibravam ritmos telúricos com a energia vibrante da cidade. O seu espaço de trabalho minimalista servia de tela para a sua assinatura única de vocais instintivos, gravados à primeira. Entre os gigantes do seu género, Anastasia Zems partilhava a sua música genuína e poética com o mundo, um testemunho das suas raízes humildes.

",,,0,0,,{},,,,,,f,f,477
462,t,f,2025-11-07 08:18:27.87+00,2025-11-07 08:18:27.87+00,,0001-01-01 00:00:00+00,0001-01-01 00:00:00+00,CLUB & NIGHTLIFE,,"Step into the shadows with PANTHERA, an immersive, uncharted experience set in a hidden industrial location in the heart of Lisbon’s east side.

Born from the vision of Madd Rod, PANTHERA promises a raw and unfiltered night of immersive sound and visuals. The lineup is a masterclass in talent, featuring electroclash pioneer The Hacker, Madd Rod, Anastasia Zems, Kemetic and Yizhaq.

The venue, a secret industrial space, amplifies the raw atmosphere, providing the perfect backdrop for a night of intense and authentic experiences. This isn't a polished club scene; it’s a return to the roots of electronic music, where the space, sound and lights merge into one.

Enhancing the auditory experience, SRAV (Sérgio Vieira) teams up with XTRA (José Nuno) to deliver immersive projections that bring the venue to life. Expect dystopic and futuristic visuals that challenge perception and blend with sound.
PANTHERA is designed as a safe space, standing firmly against any forms of discrimination, predatory or intimidating behaviour. It’s a community standing for creative freedom and self-expression, embracing the true essence of the underground, guided by values of respect and authenticity.

Details of the location remain a closely guarded secret, maintaining the enigmatic allure of PANTHERA. For the moment all that is known is the fact it is a big industrial location in the eastern side of the city.


23H00 — 07H00


VISUALS BY SRAV + XTRA",,,0,0,,{},,,,,,f,f,478
463,t,f,2025-11-07 08:20:01.921+00,2025-11-07 08:20:01.921+00,,0001-01-01 00:00:00+00,0001-01-01 00:00:00+00,CLUB & NIGHTLIFE,,"
19.06 - MERCREDI SOIR : David Vunk, Anastasia Zems, Alede, Canapé Bleu & Club Vitamine

▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬

Mercredi 19 juin, on continue d’ambiancer ta fin de journée et on te prépare une nuit électrisante où les rythmes des doux bpm envahiront Virage

On a réuni pour vous un line-up d'artistes qui sauront vous faire vibrer :

Préparez-vous donc à une énergie explosive avec les collectifs Club Vitamine, Canapé Bleu, Alede qui seront accompagnés sur cet incroyable line up de l’unique David Vunk et Anastasia Zems !

MERCREDI 19 JUIN
19:00 - 5:00

NOS TARIFS :
Prévente - entrée avant 20h : 0€ (oui zéro)
Prévente - entrée avant 23h : 5€
Prévente - toute la nuit : 8€
Entrée sur place : 10€

LIEU
𝗩𝗜𝗥𝗔𝗚𝗘
26 rue Hélène et François Missoffe - 75017 Paris
Open air mais couvert ! La météo ne nous aura pas !
Attention pour la commande de votre VTC, veuillez indiquer l'adresse suivante pour arriver à bon port :
6 boulevard du bois le Prêtre 75017 Paris
Métro 13 : Porte de Clichy ou Porte de Saint-Ouen
Métro 14 : Porte de Clichy
RER C : Porte de Clichy
Tramway T3b : Épinettes - Pouchet",,,0,0,,{},,,,,,f,f,479
464,t,f,2025-11-07 08:22:11.43+00,2025-11-07 08:22:11.43+00,,0001-01-01 00:00:00+00,0001-01-01 00:00:00+00,CLUB & NIGHTLIFE,,"𝐴𝑓𝑡𝑒𝑟 𝑎 𝑓𝑎𝑛𝑡𝑎𝑠𝑡𝑖𝑐 𝑓𝑖𝑟𝑠𝑡 𝑒𝑑𝑖𝑡𝑖𝑜𝑛 𝑖𝑛 𝑀𝑎𝑟𝑐ℎ, 𝐷𝑎𝑛𝑐𝑖𝑛𝑔 𝐷𝑜𝑙𝑝ℎ𝑖𝑛𝑠 𝑖𝑠 𝑏𝑎𝑐𝑘 𝑤𝑖𝑡ℎ 𝑎𝑛𝑜𝑡ℎ𝑒𝑟 𝑑𝑟𝑒𝑎𝑚 𝑙𝑖𝑛𝑒-𝑢𝑝 𝑎𝑡 𝑡ℎ𝑒 𝑩𝒖𝒆𝒏𝒂 𝑶𝒏𝒅𝒂 𝑺𝒐𝒄𝒊𝒂𝒍 𝑪𝒍𝒖𝒃.

𝑨𝒏𝒂𝒔𝒕𝒂𝒔𝒊𝒂 𝒁𝒆𝒎𝒔 𝑎𝑟𝑟𝑖𝑣𝑒𝑠 𝑓𝑟𝑜𝑚 𝐿𝑖𝑠𝑏𝑜𝑛 𝑗𝑢𝑠𝑡 𝑎𝑓𝑡𝑒𝑟 ℎ𝑒𝑟 𝑑𝑒𝑏𝑢𝑡 𝑎𝑡 𝑁𝑢𝑖𝑡𝑠 𝑆𝑜𝑛𝑜𝑟𝑒𝑠 𝐹𝑒𝑠𝑡𝑖𝑣𝑎𝑙. 𝑊𝑒 ℎ𝑎𝑑 𝑡ℎ𝑒 𝑝𝑙𝑒𝑎𝑠𝑢𝑟𝑒 𝑜𝑓 𝑑𝑖𝑠𝑐𝑜𝑣𝑒𝑟𝑖𝑛𝑔 ℎ𝑒𝑟 𝑎 𝑓𝑒𝑤 𝑦𝑒𝑎𝑟𝑠 𝑎𝑔𝑜 𝑎𝑛𝑑 𝑠𝑖𝑛𝑐𝑒 𝑡ℎ𝑒𝑛 𝑤𝑒'𝑣𝑒 𝑏𝑒𝑒𝑛 𝑓𝑜𝑙𝑙𝑜𝑤𝑖𝑛𝑔 ℎ𝑒𝑟 𝑡𝑜 𝑠𝑒𝑒 𝑒𝑣𝑒𝑟𝑦𝑡ℎ𝑖𝑛𝑔 𝑠ℎ𝑒'𝑠 𝑏𝑒𝑒𝑛 𝑎𝑐ℎ𝑖𝑒𝑣𝑖𝑛𝑔.

𝑊𝑒 𝑎𝑙𝑠𝑜 ℎ𝑎𝑣𝑒 𝑪𝒐𝒔𝒎𝒊𝒄 𝑪𝒉𝒆𝒓𝒓𝒚, 𝐷𝐽 𝑎𝑛𝑑 𝑝𝑟𝑜𝑑𝑢𝑐𝑒𝑟 𝑏𝑎𝑠𝑒𝑑 𝑖𝑛 𝐵𝑒𝑟𝑙𝑖𝑛 𝑡ℎ𝑎𝑡 𝑤𝑒 𝑓𝑒𝑙𝑙 𝑖𝑛 𝑙𝑜𝑣𝑒 𝑤𝑖𝑡ℎ 𝑎𝑓𝑡𝑒𝑟 𝑑𝑖𝑠𝑐𝑜𝑣𝑒𝑟𝑖𝑛𝑔 ℎ𝑒𝑟 𝑔𝑟𝑒𝑎𝑡 𝑚𝑢𝑠𝑖𝑐𝑎𝑙 𝑡𝑎𝑠𝑡𝑒𝑠 𝑡ℎ𝑎𝑡 𝑤𝑒 𝑎𝑟𝑒 𝑠𝑢𝑟𝑒 𝑦𝑜𝑢 𝑤𝑖𝑙𝑙 𝑙𝑜𝑣𝑒.

𝑳𝒚𝒅𝒊𝒂 𝑽𝒊𝒍𝒂𝒔 𝑎𝑛𝑑 𝑮.𝑱. 𝑸𝒖𝒊𝒏𝒕𝒂𝒏𝒂 𝑤𝑖𝑙𝑙 𝑜𝑝𝑒𝑛 𝑡ℎ𝑒 𝑝𝑎𝑟𝑡𝑦 𝑤𝑖𝑡ℎ 𝑎 𝑠𝑒𝑙𝑒𝑐𝑡𝑖𝑜𝑛 𝑜𝑓 𝑡𝑟𝑎𝑐𝑘𝑠 𝑑𝑒𝑠𝑖𝑔𝑛𝑒𝑑 𝑡𝑜 𝑔𝑒𝑡 𝑦𝑜𝑢 𝑖𝑛 𝑡ℎ𝑒 𝑝𝑎𝑟𝑡𝑦 𝑚𝑜𝑜𝑑 𝑎𝑛𝑑 𝑒𝑛𝑗𝑜𝑦 𝑡𝑜𝑔𝑒𝑡ℎ𝑒𝑟 𝑜𝑛 𝑡ℎ𝑒 𝑙𝑜𝑣𝑒𝑙𝑦 𝑎𝑛𝑑 𝑐𝑜𝑧𝑦 𝑑𝑎𝑛𝑐𝑒𝑓𝑙𝑜𝑜𝑟 𝑜𝑓 𝐵𝑢𝑒𝑛𝑎 𝑂𝑛𝑑𝑎.

𝑊𝑒 𝑤𝑖𝑙𝑙 𝑎𝑙𝑠𝑜 ℎ𝑎𝑣𝑒 𝑎 𝑝ℎ𝑜𝑡𝑜𝑔𝑟𝑎𝑝ℎ𝑦 𝑒𝑥ℎ𝑖𝑏𝑖𝑡𝑖𝑜𝑛 𝑏𝑦 𝑲𝒂𝒎𝒊𝒍𝒂 𝑶𝒓𝒕𝒊𝒛, 𝑤ℎ𝑒𝑟𝑒 𝑦𝑜𝑢 𝑤𝑖𝑙𝑙 𝑏𝑒 𝑎𝑏𝑙𝑒 𝑡𝑜 𝑠𝑒𝑒 𝑚𝑎𝑛𝑦 𝑜𝑓 ℎ𝑒𝑟 𝑒𝑥𝑝𝑒𝑟𝑖𝑒𝑛𝑐𝑒𝑠 𝑡ℎ𝑟𝑜𝑢𝑔ℎ ℎ𝑒𝑟 𝑐𝑎𝑚𝑒𝑟𝑎 𝑡ℎ𝑎𝑡 𝑤𝑖𝑙𝑙 𝑠𝑢𝑟𝑒𝑙𝑦 𝑙𝑒𝑎𝑣𝑒 𝑦𝑜𝑢 𝑐𝑢𝑟𝑖𝑜𝑢𝑠 𝑓𝑜𝑟 𝑚𝑜𝑟𝑒.

𝐼𝑡 𝑖𝑠 𝑎 𝑟𝑒𝑎𝑙 𝑝𝑙𝑒𝑎𝑠𝑢𝑟𝑒 𝑡𝑜 𝑏𝑒 𝑎𝑏𝑙𝑒 𝑡𝑜 𝑖𝑛𝑣𝑖𝑡𝑒 𝑡ℎ𝑒𝑠𝑒 𝑡𝑤𝑜 𝑡𝑎𝑙𝑒𝑛𝑡𝑒𝑑 𝑔𝑖𝑟𝑙𝑠 𝑓𝑜𝑟 𝑡ℎ𝑒 𝑓𝑖𝑟𝑠𝑡 𝑡𝑖𝑚𝑒 𝑖𝑛 𝐵𝑎𝑟𝑐𝑒𝑙𝑜𝑛𝑎.

𝑆𝑒𝑒 𝑦𝑜𝑢 𝑜𝑛 𝑴𝒂𝒚 𝟐𝟓𝒕𝒉, 𝑑𝑜𝑛'𝑡 𝑚𝑖𝑠𝑠 𝑖𝑡!",,,0,0,,{},,,,,,f,f,480
465,t,f,2025-11-07 08:23:44.755+00,2025-11-07 08:23:44.755+00,,0001-01-01 00:00:00+00,0001-01-01 00:00:00+00,CLUB & NIGHTLIFE,,"
Born from an unrenovated apartment building in Friedrichshain, across the river from Treptower Park, Renate has three main dance floors and many smaller rooms to explore. Every shade and subgenre of electronic music has its place here, from fast, groovy techno to uplifting house music, from chugging EBM to frenetic breakbeat stompers.

☐ ☐ ☐ ☐ ☐ ☐ ☐ ☐ ☐ ☐ ☐ ☐ ☐ ☐ ☐ ☐

The non-smoking regulations apply in the club. Smoking is only permitted in the garden.

Tickets are available at the door. RA ticket does not guarantee entry; purchased tickets will be refunded in that case. Box office 22€ (incl. 2€ wardrobe).

Please note we are fully cashless, we ONLY accept CARD and BITCOIN payments at the club.

Renate should be a safe space for any ethnicity, gender or sexual orientation. Any sign of racism, sexism or homophobia will not be tolerated.
In case you feel that you have been treated wrongly, or that your space has been violated, please notify our awareness team or our staff.",,,0,0,,{},,,,,,f,f,481
466,t,f,2025-11-07 08:25:11.471+00,2025-11-07 08:25:11.471+00,,0001-01-01 00:00:00+00,0001-01-01 00:00:00+00,CLUB & NIGHTLIFE,,"Disco
Inês Duarte 
Ogazón 

Bar
NVNO
Anastasia Zems",,,0,0,,{},,,,,,f,f,482
494,t,f,2025-11-07 13:58:57.386+00,2025-11-07 13:58:57.386+00,,0001-01-01 00:00:00+00,0001-01-01 00:00:00+00,CLUB & NIGHTLIFE,,"AISHA 
Anastasiya Ty b2b GADDAM 
Pixie Dust
V-TEC 
Tina von Kugler",,,0,0,,{},,,,,,f,f,510
468,t,f,2025-11-07 08:29:11.282+00,2025-11-07 08:29:11.282+00,,0001-01-01 00:00:00+00,0001-01-01 00:00:00+00,CLUB & NIGHTLIFE,,"Les Yeux Orange relancent leur concept de soirées EXOTIKA qui a vu se succéder aux platines des guests prestigieux tels que Skatebard, Lauer, Nu Genea, David Vunk, Paramida, Dollkraut, Ruf Dug, Black Merlin, Dazion, Lord Of Isles, Nathan Micay or Hysteric

Pour cette nouvelle édition, préparez-vous à un Grand Format qui s’annonce exceptionnel avec 3 espaces, 3 scènes et 2 guests internationaux!",,,0,0,,{},,,,,,f,f,484
469,t,f,2025-11-07 08:31:37.912+00,2025-11-07 08:31:37.912+00,,0001-01-01 00:00:00+00,0001-01-01 00:00:00+00,CLUB & NIGHTLIFE,,"This week we are welcoming an awesome dj and producer @anastasiazems !

Immature warm-up by @notmature.eno__ugh

ANASTASIA ZEMS
In a distant city, humble songstress Anastasia Zems discovered her voice. Embracing her gentle spirit, she created music that resonated with listeners far and wide.
Now flourishing in Lisbon, Anastasia's creative soul weaved electronic beats with soothing vocals. This natural connection, born from a life steeped in music, captivated her audience through her DJ sets and productions.
Raised in a modest family, Anastasia honed her skills in singing, dancing, and theater. In her music, she let instincts guide her, crafting soundscapes that balanced earthy rhythms with a vibrant city energy.
Her minimalist workspace served as the canvas for her unique signature of instinctual, first-take vocals. Amidst the giants of her genre, Anastasia Zems shared her genuine, poetic music with the world, a testament to her humble roots.

NOT MATURE ENOUGH
Introducing the dynamic duo, Emilio and Savvas, a pair of vibrant and endlessly creative individuals whose magnetic energy and undeniable talent have set them apart in the world of entertainment Emilio and Savvas are not your typical performers; they are a breath of fresh air in an industry that sometimes takes itself too seriously. Their sets are a rollercoaster of emotions, seamlessly blending different genres and styles, creating an electrifying atmosphere that captivates audiences from start to finish.
One can never predict how the night will unfold when these two take the stage, and that's precisely what makes them so compelling",,,0,0,,{},,,,,,f,f,485
470,t,f,2025-11-07 08:33:49.36+00,2025-11-07 08:33:49.36+00,,0001-01-01 00:00:00+00,0001-01-01 00:00:00+00,CLUB & NIGHTLIFE,,"Laska V21 invites you to dive into the Halloween atmosphere on October 28th at our event inspired by Stanley Kubrick's ""The Shining""! Here, you'll find a stylized interior, thematic cocktails, interactive performances, and the city's top DJs.
Join Laska V21 and celebrate this Halloween with unforgettable style!

On the decks:
- Anastasia Zems (Hard Fist) (PT)
As a DJ and producer, Anastasia Zems has been capturing ears and hearts across the world with her hypnotic, rhythmic take on electronic music.

- Queer on Acid
- ALGO & Judzhen
- SECRET GUEST",,,0,0,,{},,,,,,f,f,486
471,t,f,2025-11-07 08:35:30.268+00,2025-11-07 08:35:30.268+00,,0001-01-01 00:00:00+00,0001-01-01 00:00:00+00,CLUB & NIGHTLIFE,,"ℝ𝔼𝕃𝔼𝔸𝕊𝔼 ℙ𝔸ℝ𝕋𝕐 (𝕃𝔸 𝕊𝕌𝕀𝕋𝔼)

« Cosmic Terroir » la formule Hard Fist qui relie la terre et les étoiles est de retour

D'abord un album aux tonalités aventureuses et débridées à écouter sans modération en sirotant la bière qui porte le même nom. Et une bière, levée aux sonorités du label, un peu planante, un poil acide, comme la musique.
Avec cette compile, on s’étire, on se détend sur un tempo psyché et lent. Et puis un beat arrive, qui entraîne et enivre doucement.

Une compilation de 9 morceaux signés par des artistes provenant de 9 pays différents.

Parmi ces 9 artistes, on n'est pas peu fièr·es de recevoir dans la boîte noire 𝗔𝗻𝗮𝘀𝘁𝗮𝘀𝗶𝗮 𝗭𝗲𝗺𝘀, dont le son est un chant psychédélique atmosphérique enveloppé dans une déferlante de percussions.

Et pour l'accompagner, 𝗪𝗮𝗿𝘂𝗺 et 𝗡𝗲𝘀𝗸𝗲𝗵 et leurs sets endiablés. Textures dissonnantes, percussions provocantes, Warum et Neskeh adorent allier le beau à l'étrange

// Anastasia Zems

// Warum

// Neskeh

𝔹𝔼𝔽𝕆ℝ𝔼 : pour déguster la bière Cosmic Terroir, RDV à La Madone dès 18h (entrée gratuite)

-
Samedi 23 septembre de 23h59 à 7h
Le Terminal - 3 Rue Terme, 69001 Lyon
8€ sur place
Artwork : Léo Marsal ღ",,,0,0,,{},,,,,,f,f,487
472,t,f,2025-11-07 10:52:47.723+00,2025-11-07 10:52:47.723+00,,0001-01-01 00:00:00+00,0001-01-01 00:00:00+00,SHOWCASE & INDUSTRY,,A high energy techno night featuring NOZZ live. The crowd requested a second show after a sold out night so this Day 2 edition included a meet and greet experience for fans. Also featuring TTUNES. Expect chaos high energy and a nightlife atmosphere focused on the electronic underground scene.,,,0,0,,{},,,,,,f,f,488
474,t,f,2025-11-07 10:56:47.632+00,2025-11-07 10:56:47.632+00,,0001-01-01 00:00:00+00,0001-01-01 00:00:00+00,CLUB & NIGHTLIFE,,NOZZ returns to India for round 2. Harder louder and more chaotic. Part of a 3-night multi-city tour. Expect high energy dark rave atmosphere and a heavy techno experience driven by The BPM Theory and Techno Takeover India.,,,0,0,,{},,,,,,f,f,490
475,t,f,2025-11-07 11:00:00.385+00,2025-11-07 11:00:00.385+00,,0001-01-01 00:00:00+00,0001-01-01 00:00:00+00,CLUB & NIGHTLIFE,,A full underground club night at Waves – The HighTide Club headlined by NOZZ delivering high energy unpredictable rave energy. Ajna performed a birthday set and Maestro supported on warm up duties. Pure chaos for the real underground crowd.,,,0,0,,{},,,,,,f,f,491
476,t,f,2025-11-07 13:04:12.325+00,2025-11-07 13:04:12.325+00,,0001-01-01 00:00:00+00,0001-01-01 00:00:00+00,VENUE & COMMUNITY DRIVEN,,PAST,,,0,0,,{},,,,,,f,f,492
477,t,f,2025-11-07 11:02:28.232+00,2025-11-07 11:02:28.232+00,,0001-01-01 00:00:00+00,0001-01-01 00:00:00+00,CLUB & NIGHTLIFE,,"ELUSIVE Day & Night could not continue due to internal organisational issues. To make sure the night still carried on for the community, De Graanfabriek and Drafbaan joined forces to host an alternative event together. From 22:00 to 05:00 the doors were open at Graanfabriek with free entry, creating a last-minute underground gathering for everyone who had planned to attend the original show. The night featured local and resident talent across hard techno and rave energy, keeping the spirit of the scene alive despite the change of plans.",,,0,0,,{},,,,,,f,f,493
478,t,f,2025-11-07 11:11:14.14+00,2025-11-07 11:11:14.14+00,,0001-01-01 00:00:00+00,0001-01-01 00:00:00+00,CLUB & NIGHTLIFE,,"RAZJEB is a hard techno rave pushing new boundaries in Warsaw's underground scene, bringing together European artists who blend industrial influences, rave energy and experimental edge. NOZZ performed as one of the international headliners, delivering a high intensity set with guitar-driven rave expression. The night created a raw and immersive atmosphere for the Warsaw hard techno community.",,,0,0,,{},,,,,,f,f,494
479,t,f,2025-11-07 11:13:24.537+00,2025-11-07 11:13:24.537+00,,0001-01-01 00:00:00+00,0001-01-01 00:00:00+00,CLUB & NIGHTLIFE,,C-Trullo hosted their winter opening night at Wood Clubroom bringing the local rave community together for a high energy hard techno gathering. NOZZ performed as the international guest headliner delivering his signature raw guitar-driven rave performance. The event marked NOZZ’s Italian debut and generated a powerful underground response in Lecce’s club scene.,,,0,0,,{},,,,,,f,f,495
480,t,f,2025-11-07 11:16:10.375+00,2025-11-07 11:16:10.375+00,,0001-01-01 00:00:00+00,0001-01-01 00:00:00+00,CLUB & NIGHTLIFE,,"AFTERD4RK returned to Subdeck for a Halloween rave takeover, transforming the venue with a 360° stage and intense, immersive lighting. NOZZ performed for the first time in Slovakia, delivering his signature hard techno guitar-driven set with high-impact crowd energy. The night brought together the local rave community for a dark and explosive club experience.",,,0,0,,{},,,,,,f,f,496
495,t,f,2025-11-07 14:00:06.754+00,2025-11-07 14:00:06.754+00,,0001-01-01 00:00:00+00,0001-01-01 00:00:00+00,CLUB & NIGHTLIFE,,"Nikolina 
Madson Carpenter 
Ana Dimco 
V-TEC 
Vadym",,,0,0,,{},,,,,,f,f,511
481,t,f,2025-11-07 11:18:49.764+00,2025-11-07 11:18:49.764+00,,0001-01-01 00:00:00+00,0001-01-01 00:00:00+00,CLUB & NIGHTLIFE,,"NOZZ performed at Libella Festival 2025 on the Rave Solution Stage at Kemnader See in Bochum. His set featured live electric guitar, high-intensity rave energy and a fusion of hard techno, hardcore and acid elements. Libella Festival brings together multiple underground communities across hyperpop, techno and trance, creating a diverse open-air festival atmosphere beside the lake. NOZZ contributed a peak-time performance that amplified the heavy and emotional character of the hard techno stage.",,,0,0,,{},,,,,,f,f,497
482,t,f,2025-11-07 11:21:00.806+00,2025-11-07 11:21:00.806+00,,0001-01-01 00:00:00+00,0001-01-01 00:00:00+00,CLUB & NIGHTLIFE,,"Debut show of NOZZ in Cologne. A high-intensity rave night at Odonien curated by EhrenKlub. NOZZ delivered his signature live energy, combining hard techno with electric guitar performance and emotional chaos on stage. The atmosphere was raw, packed, and heavy, bringing a wave of crowd interaction and peak-time rave energy to Cologne. A defining moment for his introduction to the German underground scene.",,,0,0,,{},,,,,,f,f,498
483,t,f,2025-11-07 11:26:03.757+00,2025-11-07 11:26:03.757+00,,0001-01-01 00:00:00+00,0001-01-01 00:00:00+00,CLUB & NIGHTLIFE,,"Official warm-up night for HIVE Festival 2025, setting the tone for the full weekend. NOZZ delivered a high-energy hard techno performance on the Hive Stage with live guitar-driven intensity, heavy crowd interaction, and peak-time rave atmosphere. The event marked the kickoff moment of the festival weekend for international ravers arriving early.

NOZZ + HURTS + YONDER + LHYST + NIOTECH + BOLLMANN + JAKOB SISTER + supporting artists",,,0,0,,{},,,,,,f,f,499
484,t,f,2025-11-07 11:32:14.051+00,2025-11-07 11:32:14.051+00,,0001-01-01 00:00:00+00,0001-01-01 00:00:00+00,CLUB & NIGHTLIFE,,"NOZZ joined Let Him Cook Radio in Marseille for a special live performance session. Bringing his signature fusion of distortion, electric riffs and emotional rave intensity, he delivered a high-impact set that blended hard techno, industrial energy and melodic expression. The performance was recorded and broadcast through Let Him Cook Radio to audiences following the emerging underground European scene.",,,0,0,,{},,,,,,f,f,500
485,t,f,2025-11-07 11:35:51.552+00,2025-11-07 11:35:51.552+00,,0001-01-01 00:00:00+00,0001-01-01 00:00:00+00,CLUB & NIGHTLIFE,,"NOZZ performed at Club Sams in Bielefeld as part of his May–June European route, delivering a high-energy set that fused distortion, melodic riffs and industrial rave expression. The night drew a strong local crowd and contributed to his ongoing rise in the German underground scene.",,,0,0,,{},,,,,,f,f,501
486,t,f,2025-11-07 11:40:33.86+00,2025-11-07 11:40:33.86+00,,0001-01-01 00:00:00+00,0001-01-01 00:00:00+00,CLUB & NIGHTLIFE,,"NOZZ brought his signature live guitar hard techno performance to Club Sams, delivering an intense high-energy set blending distortion, riffs, and heavy drops. The atmosphere was raw, sweaty, and chaotic, pure rave culture. A standout date in his Europe circuit tour.",,,0,0,,{},,,,,,f,f,502
487,t,f,2025-11-07 12:44:51.526+00,2025-11-07 12:44:51.526+00,,0001-01-01 00:00:00+00,0001-01-01 00:00:00+00,CLUB & NIGHTLIFE,,"CRD [FR]
ABYSSS [FR]
inKKiss
VØX B2B WITHIN (NL)",,https://ra.co/events/2235744,1,4,,{},Funktion-One,Not required,2 × Pioneer CDJ-3000,1 × Pioneer DJM-900NXS2,2 × booth monitors with independent volume,f,f,503
488,t,f,2025-11-07 13:16:23.308+00,2025-11-07 13:16:23.308+00,,0001-01-01 00:00:00+00,0001-01-01 00:00:00+00,CLUB & NIGHTLIFE,,"ORVEX makes its debut — a night of hypnotic grooves, and keeps you moving deep into the night.

This first chapter sets the tone for what’s to come: a space of connection, creativity, and raw energy where the groove takes hold and music becomes resistance.

Enjoy tattoo sessions with some surprises and explore provocative fetish art exhibitions throughout the venue, elevating the night to the next level.

Tickets available online and at the box office (cash only).",,,0,0,,{},,,,,,f,f,504
489,t,f,2025-11-07 13:52:06.905+00,2025-11-07 13:52:06.905+00,,0001-01-01 00:00:00+00,0001-01-01 00:00:00+00,CLUB & NIGHTLIFE,,"Svetec 
SIKOTI 
PISAPIA (IT) 
Marco Leckbert 
Riana Holley 
DIMENSION 9 
V-TEC 
KØDE X 
PAISANA ",,,0,0,,{},,,,,,f,f,505
